Name_email,Local Body,Local Body Type,LSG Code,Block,Assembly,District,District Panchayat,wikidata link,Name_std_ml,wikidata-kml,Local Body Full_ml,വെബ്സൈറ്റ്‌,Assembly(s)
ayancheri,ayancheri,GP,G110401,thodannur,Kuttiady,Kozhikode,Kozhikode,Q4830923,ആയഞ്ചരി,Q4830923,ആയഞ്ചരി ഗ്രാമ പഞ്ചായത്ത്,panchayat.lsgkerala.gov.in/ayancheripanchayat,കുറ്റ്യാടി
ayarkunnam,ayarkunnam,GP,G050801,pallom,Puthuppally,Kottayam,Kottayam,Q13110092,അയര്‍കുന്നം,Q13110092,അയര്‍കുന്നം ഗ്രാമ പഞ്ചായത്ത്,panchayat.lsgkerala.gov.in/ayarkunnampanchayat,പുതുപ്പള്ളി
ayavana,ayavana,GP,G071406,muvattupuzha,Muvattupuzha,Ernakulam,Ernakulam,Q16136539,ആയവന,Q16136539,ആയവന ഗ്രാമ പഞ്ചായത്ത്,panchayat.lsgkerala.gov.in/ayavanapanchayat,മൂവാറ്റുപുഴ
ayiloor,ayiloor,GP,G091101,nenmara,Nenmara,Palakkad,Palakkad,Q13110085,അയിലൂര്‍,Q13110085,അയിലൂര്‍ ഗ്രാമ പഞ്ചായത്ത്,panchayat.lsgkerala.gov.in/ayiloorpanchayat,നെന്മാറ
aymanam,aymanam,GP,G050302,ettumanoor,Ettumanoor,Kottayam,Kottayam,Q16134990,അയ്മനം,Q16134990,അയ്മനം ഗ്രാമ പഞ്ചായത്ത്,panchayat.lsgkerala.gov.in/aymanampanchayat,ഏറ്റുമാനൂർ
ayroor,ayroor,GP,G030301,koipuram,Ranni,Pathanamthitta,Pathanamthitta,Q16134965,അയിരൂര്‍,Q16134965,അയിരൂര്‍ ഗ്രാമ പഞ്ചായത്ത്,panchayat.lsgkerala.gov.in/ayroorpanchayat,റാന്നി
ayyampuzha,ayyampuzha,GP,G070305,angamaly,Angamaly,Ernakulam,Ernakulam,Q13110090,അയ്യമ്പുഴ,Q13110090,അയ്യമ്പുഴ ഗ്രാമ പഞ്ചായത്ത്,panchayat.lsgkerala.gov.in/ayyampuzhapanchayat,അങ്കമാലി
ayyankunnu,ayyankunnu,GP,G131002,iritty,Peravoor,Kannur,Kannur,Q13110089,അയ്യന്‍കുന്ന്,Q13110089,അയ്യന്‍കുന്ന് ഗ്രാമ പഞ്ചായത്ത്,panchayat.lsgkerala.gov.in/ayyankunnupanchayat,പേരാവൂര്‍
ayyappancoil,ayyappancoil,GP,G060606,kattappana,Peerumade,Idukki,Idukki,Q16135050,അയ്യപ്പന്‍കോവില്‍,Q16135050,അയ്യപ്പന്‍ കോവില്‍ ഗ്രാമ പഞ്ചായത്ത്,panchayat.lsgkerala.gov.in/ayyappancoilpanchayat,പീരുമേട്
azhikode,azhikode,GP,G130505,kannur,Azhikode,Kannur,Kannur,Q13110137,അഴീക്കോട്,Q13110137,അഴീക്കോട് ഗ്രാമ പഞ്ചായത്ത്,panchayat.lsgkerala.gov.in/azhikodepanchayat,അഴീക്കോട്
azhiyur,azhiyur,GP,G110101,vadakara,Vatakara,Kozhikode,Kozhikode,Q16135476,അഴിയൂര്‍,Q16135476,അഴിയൂര്‍ ഗ്രാമ പഞ്ചായത്ത്,panchayat.lsgkerala.gov.in/azhiyurpanchayat,വടകര
